Bytes Sent,Lost Percentage
10240,0
10240,0
40960,0
40960,0
40960,0
204800,0
204800,0
204800,0
204800,0
409600,0
409600,0
409600,0
650000,0
650000,0
650000,0
2048000,0
2048000,0
2048000,0
6500000,2.689108
6500000,1.861231
6500000,2.811692
 10240, 0.000000
 10240, 0.000000
 10240, 80.000001
 10240, 89.999998
 10240, 80.000001
 10240, 30.000001
 10240, 89.999998
 10240, 80.000001
 10240, 80.000001
 10240, 100.000000
 10240, 10.000000
 10240, 80.000001
 10240, 60.000002
 10240, 41942840.625000
 10240, 80.000001
 204800, 79.000002
 204800, 80.000001
 204800, 80.000001
 204800, 80.000001
 204800, 100.000000
 204800, 80.000001
 204800, 69.999999
 204800, 40.000001
 204800, 69.999999
 204800, 69.999999
 204800, 40.000001
 204800, 80.000001
