Bytes Sent, Bytes Received, Time(delay), Time(raw), Protocol
10240,10240,0.156,0.156, tcp
10240,10240,0.157,0.157, tcp
10240,10240,0.156,0.156, tcp
10240,10240,0,0, tcp
10240,10240,0.074,0.074, tcp
204800,204800,0.157,0.157, tcp
204800,204800,0.172,0.172, tcp
204800,204800,0.156,0.156, tcp
10240,1024,0,0, udp
10240,4096,0,0, udp
10240,4096,0,0, udp
204800,4096,0,0, udp
204800,191488,0,0, udp
204800,190464,0,0, udp
204800,190464,0,0, udp
307200,190464,0,0, udp
307200,289792,0,0, udp
307200,292864,0,0, udp
1024000,291840,0,0, udp
1024000,556032,0,0, udp
1024000,414720,0.016,0.016, udp
1024000,514048,0.016,0.016, udp
1024000,464896,0.015,0.015, udp
1024000,308224,0.015,0.015, udp
1024000,540672,0.015,0.015, udp
1024000,444416,0,0, udp
1024000,351232,0.016,0.016, udp
512000,1430528,0,0, udp
512000,315392,0.016,0.016, udp
512000,393216,0,0, udp
